年份,試題編號,標準答案,試題內容
112年三特警察情境,第5題,C,"5警察執行巡邏勤務，於公共場所發現人車可疑，通常會以臨檢盤查等手段蒐集不法事證，依警察
職權行使法規定，下列何者非屬有「合理懷疑其有犯罪之嫌疑或有犯罪之虞者」之情境，警察不
得任意執行身分查證？
警察巡邏發現一群黑衣男子深夜在某酒店大門外徘徊，現場有多人手持球棒聚集在騎樓下意圖
不明
警察巡邏接獲勤務指揮中心110通報，有一輛進口黑色賓士汽車未熄火停放於某公園側門旁，
車內有多人疑似從事毒品交..."
112年三特警察情境,第6題,D,"6民意代表甲具名函文某分局，告發官員乙3個月前，在電視政論節目中所公開談論之婦幼安全政
策議題，有證據顯示乙所言係屬捏造，已明顯構成社會秩序維護法所規定之「散布謠言，足以影
響公共之安寧者」；要求警方訊問乙並將案件移送地方法院審理。若本案交由你負責承辦，下列
處置方式何者最適當？
通知甲先來製作筆錄後，即移送該管地方法院審理
通知乙前來製作筆錄後，即移送該管地方法院審理
乙言論內容，若同時符..."
112年三特警察情境,第7題,B,"7跟蹤騷擾行為人經警察機關依法為書面告誡後2年內，再為跟蹤騷擾行為者，相關保護令之聲請
規定，下列敘述何者錯誤？
被害人得向法院聲請保護令
家庭暴力防治法所定家庭成員間之跟蹤騷擾行為，被害人亦得依跟蹤騷擾防制法向法院聲請保
護令
警察機關得依職權向法院聲請保護令
檢察官得依職權向法院聲請保護令"
112年三特警察情境,第8題,C,"8家庭暴力經常發生在隱密的私人生活領域，這類暴力甚至演變成命案，已成為眾所關注的社會治
安問題，派出所員警受（處）理家庭暴力案件，應具危機意識，不可掉以輕心，即時保護受暴者，
下列敘述何者正確？
家庭成員實施跟蹤騷擾行為，其保護令之聲請，須依跟蹤騷擾防制法處理之
被害人於偵查中受詢問時，應主動通知其親屬、醫師、心理師、輔導人員或社工人員陪同在場，
陪同人並得陳述意見
被害人有受家庭暴力之急迫..."
112年三特警察情境,第10題,B,"10為有效維護社會治安，各縣市警察局紛紛於轄區重要路口及治安要點處，大量建置錄影監視系統，
運用科技設備輔助偵防犯罪，針對公設監視器錄影資料之使用，內政部警政署訂頒「治安要點錄
影監視系統調閱影像檔案處理作業程序」，下列敘述何者正確？
民眾向警察分局申請調閱錄影監視系統影音資料，由業務主管核准後交由派出所值班員警陪同
調閱並製作紀錄
錄影監視系統影音資料複製使用，應依警察職權行使法及個人資料保..."
112年三特警察情境,第11題,A,"11你是偵查隊的分隊長帶隊執行毒品案之搜索，於受搜索人甲住處當場查獲甲持有海洛因37公克，
甲現場表明要選任律師乙為辯護人，並通知乙到達甲住處，有關辯護人乙權限之敘述，下列何者
錯誤？
乙得於執行搜索甲住處時在場陪同
全案帶回偵查隊後，乙得請求接見甲，其時間不得逾1小時
乙得於詢問犯罪嫌疑人筆錄時在場，並得陳述意見
乙於偵查隊時，不得檢閱、抄錄或攝影卷宗及證物"
112年三特警察情境,第12題,B,"12你負責偵辦某重大詐騙案件，經調閱監視器發現，詐騙車手於兩天前自臺北市某地面交詐騙得手
後，連續轉乘三輛計程車，最後於桃園火車站再搭乘計程車，據該計程車司機表示其載客人前往
一偏僻山區的餐廳，惟上山行經路線及該餐廳皆未裝設監視器。你最優先的偵查措施為何？
即刻於該餐廳外埋伏監視，等待詐欺車手或其他嫌犯的出現
訪查該餐廳老闆及員工背景資料，藉以了解其與詐騙車手有無關係
對該餐廳逕行搜索，查證..."
112年三特警察情境,第13題,C,"13你是派出所所長，接獲勤務指揮中心通報轄內某薑母鴨店門口有民眾打架，經你率員抵達現場，
發現甲、乙2人蹲坐路邊，身上均有鬥毆痕跡及血跡。初詢雙方均承認有鬥毆事實，遠遠看到警
方到場才停手，下列處理方式，何者最不適當？
以現行犯逮捕甲、乙
因傷害罪係告訴乃論，請甲、乙自行去醫院驗傷，欲提出告訴者再至派出所提出告訴
如甲、乙互不提出傷害告訴，得以違反社會秩序維護法裁罰
如經查甲事先聚集丙、丁..."
112年三特警察情境,第14題,B,"14搜索扣押乃警察為發現犯罪證據物件，而對人身、物件等實施之強制檢查處分，依警察偵查犯罪
手冊規定，搜索執行之原因及應遵守之程序，下列敘述何者錯誤？
警員持檢察官製發之拘票拘提涉嫌聚眾鬥毆之犯罪嫌疑人，查獲時得逕行搜索其身體、手提背包
偵查佐持法官製發之搜索票，午後至犯罪嫌疑人住宅搜索，行動持續至晚間十時許結束，該搜
索行為仍屬合法，且扣押之物品得為證據
派出所所長獲報轄區某大樓頂樓民宅，出..."
112年三特警察情境,第15題,D,"15你是偵查隊分隊長，指導所屬同仁辦理刑事案件移送時，依據警察偵查犯罪手冊規定，下列敘述
何者正確？
全案雖未調查完畢，但經依法提起自訴，得將全案函送管轄法院或檢察署
全案經調查完畢，認有犯罪嫌疑者，應將全案移送或報告管轄法院或檢察署
上級警察機關或檢察官或法官命令移送者，應將全案移送管轄法院或檢察署
犯罪證據不明確，但被害人堅持提出告訴者，應將全案移送管轄法院或檢察署"
112年三特警察情境,第16題,D,"16你於夜間執行交通稽查取締勤務時，發現一輛電動輔助自行車闖紅燈且未開啟燈光，經攔下盤查
過程中，發現駕駛人身上酒味很濃，且未戴安全帽，下列的執法作為何者錯誤？
闖紅燈屬違規行為，依法製單舉發
夜間行車未開啟燈光，亦應併予舉發
駕駛人經測試檢定酒精濃度超過規定標準者，依法仍應舉發處罰
駕駛人未依規定戴安全帽，應舉發處以新臺幣300元罰鍰"
112年三特警察情境,第17題,B,"17如果你是派出所所長帶班執勤，汽機車駕駛人駕駛汽機車經測試檢定吐氣所含酒精濃度結果，依
道路交通管理處罰條例，應受處罰規定，下列何者正確？
酒精濃度達每公升零點二五毫克或血液中酒精濃度達百分之0.05以上，年滿16歲之同車乘客
應受處罰，但年滿70歲、心智障礙或汽車運輸業之乘客，不在此限
發生交通事故後，在接受吐氣所含酒精濃度測試檢定前，進入超商購買高梁並迅速喝下，並無
處罰規定
機車所有..."
112年三特警察情境,第18題,D,"18甲帶班擔服巡邏勤務時，發現前方乙所騎乘機車之號牌污穢且闖紅燈，經甲駛近並以明顯手勢，
要求乙停車稽查未果後，乙並加速往前逃逸，甲遂決定對乙實施尾隨追蹤稽查，有關甲之處置作
為，下列敘述何者錯誤？
尾隨時應保持安全距離，並等待適當攔停時機
尾隨時僅能開啟警示燈，但不得使用警鳴器或喊話器
適時將發生地點、逃逸方向等資料，通報勤務指揮中心
勤務指揮中心命令終止時，即宜停止追蹤稽查"
112年三特警察情境,第19題,D,"19你處理一起交通事故，肇事當事人甲無法實施吐氣酒精濃度測試之檢定，經抽血血液酒精濃度檢
測值為34mg/dL。對於酒駕肇事駕駛人甲違反道路交通管理處罰條例第35條第1項酒精濃度超
過規定標準與觸犯刑法第185條之3的處置原則，下列敘述何者正確？
交通法規部分，施以勸導，免予舉發；公共危險罪部分，向檢察官報告，依指示辦理
交通法規部分，施以勸導，免予舉發；公共危險罪部分，檢附觀察紀錄表及佐證資..."
112年三特警察情境,第20題,B,"20你是一位交通分隊長，勤教時考詢員警處理交通事故有關勘察、蒐證、詢問關係人事項，有關員
警回答，下列何者正確？
道路交通事故現場應以現場圖或現場草圖及攝影作成紀錄，詳實製作道路交通事故調查紀錄等
資料，現場圖或現場草圖不得採用攝影或錄影等科學儀器製作
事故當事人當場不能或不宜製作調查紀錄等資料者，應於事故發生或其原因消失後30日內聯
繫處理單位補製
事故當事人陳述內容即使有再查證必要者，警..."
